step,epoch,batch_loss,running_mean,trailing_mean
168,1,0.218324,0.313849,0.238798
169,1,0.197514,0.313161,0.238124
170,1,0.174507,0.312345,0.23724
171,1,0.16163,0.311464,0.236245
172,1,0.210468,0.310876,0.235894
173,1,0.259458,0.310579,0.235566
174,1,0.270778,0.310351,0.235373
175,1,0.175723,0.309581,0.234576
176,1,0.238315,0.309176,0.234824
177,1,0.21023,0.308617,0.234176
178,1,0.182096,0.307907,0.233304
179,1,0.185309,0.307222,0.233137
180,1,0.247723,0.306891,0.233289
181,1,0.191681,0.306255,0.232035
182,1,0.227072,0.305819,0.231615
183,1,0.229034,0.3054,0.231519
184,1,0.173601,0.304684,0.231045
185,1,0.22438,0.304249,0.23055
186,1,0.149209,0.303416,0.229926
187,1,0.242742,0.303091,0.230436
188,1,0.185508,0.302466,0.229539
189,1,0.118784,0.301494,0.227743
190,1,0.197775,0.300948,0.22704
191,1,0.163295,0.300228,0.22581
192,1,0.222758,0.299824,0.225674
193,1,0.198939,0.299301,0.225278
194,1,0.239878,0.298995,0.225342
195,1,0.153387,0.298248,0.224216
196,1,0.187839,0.297685,0.223784
197,1,0.246229,0.297424,0.223772
198,1,0.159645,0.296728,0.222815
199,1,0.159653,0.296039,0.221771
200,1,0.187753,0.295498,0.220452
201,1,0.178454,0.294915,0.219689
202,1,0.266972,0.294777,0.219403
203,1,0.286475,0.294736,0.219594
204,1,0.219129,0.294366,0.219002
205,1,0.186559,0.29384,0.218492
206,1,0.258108,0.293666,0.217964
207,1,0.255353,0.293481,0.217844
208,1,0.178831,0.29293,0.217171
209,1,0.178598,0.292383,0.216699
210,1,0.187824,0.291885,0.215712
211,1,0.191147,0.291408,0.215221
212,1,0.212057,0.291033,0.215116
213,1,0.298217,0.291067,0.216398
214,1,0.166735,0.290486,0.215693
215,1,0.205316,0.29009,0.215364
216,1,0.218622,0.289759,0.215142
217,1,0.200319,0.289347,0.214821
218,1,0.179346,0.288842,0.213821
219,1,0.17666,0.28833,0.212929
220,1,0.18981,0.287882,0.212388
221,1,0.215021,0.287553,0.212186
222,1,0.244139,0.287357,0.212867
223,1,0.249783,0.287188,0.213005
224,1,0.143074,0.286545,0.212711
225,1,0.135642,0.285874,0.212077
226,1,0.1823,0.285416,0.210496
227,1,0.209408,0.285081,0.210352
228,1,0.230142,0.28484,0.209585
229,1,0.14342,0.284223,0.208377
230,1,0.136164,0.283579,0.207792
231,1,0.167298,0.283076,0.206681
232,1,0.187544,0.282664,0.206408
233,1,0.207552,0.282342,0.206383
234,1,0.162514,0.281829,0.206256
235,1,0.237153,0.281639,0.206203
236,1,0.15241,0.281092,0.205668
237,1,0.182764,0.280677,0.204941
238,1,0.15509,0.280149,0.204526
239,1,0.172371,0.279698,0.204081
240,1,0.198013,0.279358,0.204198
241,1,0.188125,0.278979,0.203163
242,1,0.171429,0.278535,0.2028
243,1,0.141664,0.277972,0.20229
244,1,0.157314,0.277477,0.202067
245,1,0.156955,0.276985,0.201334
246,1,0.12707,0.276376,0.200174
247,1,0.20426,0.276084,0.199738
248,1,0.175612,0.275679,0.199604
249,1,0.161605,0.275221,0.199232
250,1,0.213995,0.274976,0.199437
251,1,0.166355,0.274543,0.199069
252,1,0.126377,0.273955,0.19818
253,1,0.220636,0.273744,0.198803
254,1,0.205839,0.273477,0.198778
255,1,0.223205,0.27328,0.199059
256,1,0.205917,0.273017,0.199103
257,1,0.202031,0.27274,0.197875
258,1,0.214428,0.272514,0.197657
259,1,0.173423,0.272132,0.197696
260,1,0.254501,0.272064,0.197807
261,1,0.170287,0.271674,0.197278
262,1,0.158086,0.27124,0.197039
263,1,0.205914,0.270992,0.196946
264,1,0.276261,0.271012,0.197587
265,1,0.211369,0.270787,0.196715
266,1,0.241216,0.270676,0.197221
267,1,0.175419,0.270319,0.196669
268,1,0.197187,0.270046,0.196457
269,1,0.193837,0.269763,0.196421
270,1,0.152814,0.26933,0.196204
271,1,0.15425,0.268905,0.19613
272,1,0.172334,0.26855,0.195748
273,1,0.252596,0.268492,0.19568
274,1,0.179879,0.268168,0.194771
275,1,0.171807,0.267818,0.194732
276,1,0.162593,0.267437,0.193974
277,1,0.173007,0.267096,0.193602
278,1,0.220842,0.266929,0.19399
279,1,0.159888,0.266546,0.193735
280,1,0.135269,0.266077,0.192611
281,1,0.178669,0.265766,0.192481
282,1,0.210585,0.26557,0.192316
283,1,0.181614,0.265273,0.191842
284,1,0.156318,0.26489,0.191669
285,1,0.19359,0.26464,0.191361
286,1,0.209049,0.264445,0.191959
287,1,0.187689,0.264178,0.191409
288,1,0.247911,0.264121,0.192033
289,1,0.153694,0.263739,0.192382
290,1,0.189998,0.263485,0.192304
291,1,0.161874,0.263136,0.19229
292,1,0.205724,0.262939,0.19212
293,1,0.152689,0.262563,0.191657
294,1,0.146853,0.262169,0.190727
295,1,0.212702,0.262001,0.19132
296,1,0.217114,0.26185,0.191613
297,1,0.178597,0.26157,0.190937
298,1,0.209229,0.261394,0.191432
299,1,0.21577,0.261241,0.191994
300,1,0.180184,0.260971,0.191918
301,1,0.140793,0.260572,0.191541
302,1,0.247056,0.260527,0.191342
303,1,0.121706,0.260069,0.189694
304,1,0.135038,0.259658,0.188853
305,1,0.218742,0.259524,0.189175
306,1,0.226991,0.259417,0.188864
307,1,0.160648,0.259095,0.187917
308,1,0.155415,0.258759,0.187683
309,1,0.163168,0.258449,0.187529
310,1,0.194086,0.258242,0.187591
311,1,0.159164,0.257923,0.187271
312,1,0.207226,0.257761,0.187223
313,1,0.155771,0.257435,0.185799
314,1,0.148333,0.257087,0.185615
315,1,0.162372,0.256787,0.185185
316,1,0.18816,0.25657,0.184881
317,1,0.181516,0.256333,0.184693
318,1,0.142218,0.255974,0.184321
319,1,0.174916,0.25572,0.184304
320,1,0.204851,0.255561,0.184454
321,1,0.202116,0.255394,0.184325
322,1,0.111312,0.254947,0.182997
323,1,0.155303,0.254639,0.182052
324,1,0.189665,0.254438,0.182518
325,1,0.234996,0.254378,0.183512
326,1,0.260761,0.254398,0.184296
327,1,0.128386,0.254012,0.183486
328,1,0.114819,0.253588,0.182333
329,1,0.132403,0.25322,0.182223
330,1,0.16902,0.252965,0.182551
331,1,0.194166,0.252787,0.18282
332,1,0.120653,0.252389,0.182151
333,1,0.184995,0.252186,0.181925
334,1,0.194039,0.252012,0.182241
335,1,0.20664,0.251877,0.181935
336,1,0.220597,0.251784,0.182617
337,1,0.145657,0.251469,0.182246
338,1,0.170131,0.251228,0.182397
339,1,0.209413,0.251105,0.182767
340,1,0.182973,0.250905,0.182617
341,1,0.211301,0.250788,0.182848
342,1,0.162035,0.250529,0.182754
343,1,0.114751,0.250133,0.182485
344,1,0.159728,0.24987,0.182509
345,1,0.183656,0.249678,0.182776
346,1,0.181933,0.249483,0.183325
347,1,0.19653,0.24933,0.183248
348,1,0.183728,0.249141,0.183329
349,1,0.141089,0.248832,0.183124
350,1,0.148516,0.248545,0.182469
351,1,0.133259,0.248217,0.182138
352,1,0.164375,0.247979,0.182518
353,1,0.152773,0.247709,0.181839
354,1,0.171281,0.247493,0.181494
355,1,0.18134,0.247307,0.181075
356,1,0.16544,0.247077,0.18067
357,1,0.205788,0.246961,0.180708
358,1,0.20264,0.246837,0.18059
359,1,0.145928,0.246556,0.180315
360,1,0.170729,0.246345,0.179477
361,1,0.141117,0.246054,0.179186
362,1,0.146698,0.24578,0.179072
363,1,0.214172,0.245692,0.179154
364,1,0.218468,0.245618,0.178577
365,1,0.234536,0.245587,0.178808
366,1,0.126282,0.245261,0.177659
367,1,0.098072,0.24486,0.176885
